Cell Identity(CI),User Agent,Downlink traffic,Location Area Code(LAC),Duration,Start Time,Radio Access Type(RAT),End Time,Uplink traffic,Destination IP,URL,Source IP,Offloading Decision,Latency,Throughput
41133,,584,4199,1,2015-08-27 17:49:05.160972,2,2015-08-27 17:49:06.225130,736,112.90.83.104,,10.164.147.54,Mobile Device,1.0,1320.0
53982,,324,43013,0,2015-08-27 17:49:05.486093,1,2015-08-27 17:49:05.488788,68,210.21.196.6,strategy.beacon.qq.com,10.162.223.23,Edge Cloud,5.002695,78.35776516457629
41133,,0,4199,0,2015-08-27 17:49:05.522045,2,2015-08-27 17:49:05.522045,40,112.80.255.73,,10.164.147.54,Mobile Device,0.0,inf
6631,MicroMessenger Client,980,4186,1,2015-08-27 17:49:04.602973,2,2015-08-27 17:49:06.483353,630,124.161.24.171,http://dns.weixin.qq.com/cgi-bin/micromsg-bin/newgetdns?uin=1515416640&clientversion=637666358&scene=0&net=2&md5=ad82b912c982c2b1006bd41c0375fe5c&devicetype=android-19&lan=zh_CN&sigver=1,10.161.164.99,Edge Cloud,6.88038,233.9987035599778
53982,%E5%A4%A9%E6%B0%94/1.0 CFNetwork/672.1.15 Darwin/14.0.0,2204,43013,2,2015-08-27 17:49:05.354272,1,2015-08-27 17:49:08.290506,2670,106.10.136.247,http://apple-mobile.query.yahooapis.com/v1/yql?crossProduct=optimized&env=store%3A%2F%2Fy8kbem5LYN3AXbLbrDFnAp&q=select%20%2A%20from%20yql.query.multi%20where%20queries%3D%22select%20city%2Ccountry%2ClocationID%2Cwoeid%2Cstate%2Clatitude%2Clongitude%2CproximateStation.ID%2CproximateStation.city%2Ccurrently.condition.code%2Ccurrently.timezone%2Ccurrently.moonphase%2Ccurrently.moonfacevisible%2Ccurrently.temp%2Ccurrently.time24%2Ccurrently.sunrise24%2Ccurrently.sunset24%2Cforecast.day.dayOfWeek%2Cforecast.day.poP%2Cforecast.day.temp.high%2Cforecast.day.temp.low%2Cforecast.day.condition.code%2Cforecast.extended_forecast_url%2Ccurrently.windSpeed%2Ccurrently.windDirectionDegree%2Ccurrently.windChill%2Ccurrently.heatIndex%2Ccurrently.feelsLike%2Ccurrently.visibility%2Ccurrently.percentHumidity%2Ccurrently.dewpoint%2Ccurrently.barometer%2Ccurrently.barometricTrend%20from%20partner.weather.forecasts%20where%20%28woeid%3D2151849%20or%20woeid%3D2132577%20or%20woeid%3D26198100%29%20and%20lang%3D%27zh-Hans%27%20and%20un,10.162.223.23,Mobile Device,2.0,2437.0
10333,,0,43011,15,2015-08-27 17:48:53.666876,1,2015-08-27 17:49:08.785205,2288,58.251.61.174,,10.164.115.226,Mobile Device,15.0,152.53333333333333
10333,,1380,43011,0,2015-08-27 17:49:10.145228,1,2015-08-27 17:49:28.192384,376,210.21.196.6,mmbiz.qpic.cn,10.164.115.226,Edge Cloud,23.047156,76.19161340340648
30081,,115,43018,0,2015-08-27 17:49:10.292357,1,2015-08-27 17:49:10.674914,230,111.206.200.2,,10.162.220.138,Mobile Device,0.0,inf
10333,MicroMessenger Client,1106,43011,0,2015-08-27 17:49:10.426364,1,2015-08-27 17:49:10.592258,818,163.177.89.181,http://szextshort.weixin.qq.com/cgi-bin/micromsg-bin/mmsnssync,10.164.115.226,Edge Cloud,5.165894,372.44279499347067
46802,,717,43019,1081,2015-08-27 17:31:29.545152,1,2015-08-27 17:49:30.959488,1369,223.6.248.215,http://photosns.push.nubia.cn:80/websocket?app_key=43b17b7653484b6087d6db43e33f166b&apk_version=300&package=cn.nubia.photosns&identity=d82a59b1-26bb-425b-bf3f-11c464ccebc01454832,10.151.28.150,Mobile Device,1081.0,1.9296947271045328
6631,,0,4186,0,2015-08-27 17:49:11.231921,2,2015-08-27 17:49:11.231921,40,140.205.160.63,,10.161.164.99,Mobile Device,0.0,inf
10333,,0,43011,15,2015-08-27 17:49:11.873235,1,2015-08-27 17:49:26.901754,300,74.125.68.188,,10.164.115.226,Mobile Device,15.0,20.0
10333,,0,43011,7,2015-08-27 17:49:12.598344,1,2015-08-27 17:49:19.598418,240,216.58.196.42,,10.164.115.226,Mobile Device,7.0,34.285714285714285
10333,MicroMessenger Client,427,43011,0,2015-08-27 17:49:13.720318,1,2015-08-27 17:49:13.912422,812,163.177.89.181,http://szextshort.weixin.qq.com/cgi-bin/micromsg-bin/clickcommand,10.164.115.226,Mobile Device,0.0,inf
10333,,208,43011,9,2015-08-27 17:49:23.915657,1,2015-08-27 17:49:33.265279,208,58.251.152.13,,10.164.115.226,Mobile Device,9.0,46.22222222222222
53982,%E5%A4%A9%E6%B0%94/1.0 CFNetwork/672.1.15 Darwin/14.0.0,1805,43013,5,2015-08-27 17:49:08.135284,1,2015-08-27 17:49:14.116718,3230,106.10.136.247,http://apple-mobile.query.yahooapis.com/v1/yql?crossProduct=optimized&env=store%3A%2F%2Fy8kbem5LYN3AXbLbrDFnAp&q=select%20%2A%20from%20yql.query.multi%20where%20queries%3D%22select%20city%2Ccountry%2ClocationID%2Cwoeid%2Cstate%2Clatitude%2Clongitude%2CproximateStation.ID%2CproximateStation.city%2Ccurrently.condition.code%2Ccurrently.timezone%2Ccurrently.moonphase%2Ccurrently.moonfacevisible%2Ccurrently.temp%2Ccurrently.time24%2Ccurrently.sunrise24%2Ccurrently.sunset24%2Cforecast.day.dayOfWeek%2Cforecast.day.poP%2Cforecast.day.temp.high%2Cforecast.day.temp.low%2Cforecast.day.condition.code%2Cforecast.extended_forecast_url%2Ccurrently.windSpeed%2Ccurrently.windDirectionDegree%2Ccurrently.windChill%2Ccurrently.heatIndex%2Ccurrently.feelsLike%2Ccurrently.visibility%2Ccurrently.percentHumidity%2Ccurrently.dewpoint%2Ccurrently.barometer%2Ccurrently.barometricTrend%20from%20partner.weather.forecasts%20where%20%28lat%3D31.294950%20and%20lon%3D121.223518%29%20and%20lang%3D%27zh-Hans%27%20and%20unit%3D%27c%27%3B%20sele,10.162.223.23,Mobile Device,5.0,1007.0
20522,%E6%89%8B%E6%9C%BA%E6%B7%98%E5%AE%9D/1070330 CFNetwork/711.1.16 Darwin/14.0.0,480,43019,3,2015-08-27 17:49:10.841472,1,2015-08-27 17:49:14.158219,3420,140.205.163.251,http://adash.m.taobao.com/rest/sur?ak=21380790&av=5.3.2&c=201200%40taobao_iphone_5.3.2&v=3.0&s=2d622f095fa3fc194ee8c8abbfb4c06ebb1fdbf3&d=U0YTfFaTl%2BwDALaw65BV3KQ1&sv=4.3.6&p=m&t=1440668950&u=&is=1,10.164.12.67,Mobile Device,3.0,1300.0
