Cell Identity(CI),User Agent,Downlink traffic,Location Area Code(LAC),Duration,Start Time,Radio Access Type(RAT),End Time,Uplink traffic,Destination IP,URL,Source IP,Offloading Decision,Latency,Throughput
30572,,3884,43046,4,2015-08-13 23:41:12.278055,1,2015-08-13 23:41:16.880205,3448,17.143.164.161,,10.164.112.150,Edge Cloud,9.60215,763.5789901220039
13053,MicroMessenger Client,5194,43013,1,2015-08-13 23:45:59.764261,1,2015-08-13 23:46:01.018721,942,163.177.89.181,http://szextshort.weixin.qq.com/cgi-bin/micromsg-bin/mmsnstimeline,10.166.45.97,Edge Cloud,6.25446,981.0599156441963
13053,,209,43013,0,2015-08-13 23:46:01.695421,1,2015-08-13 23:46:01.697925,64,210.21.196.6,vweixinf.tc.qq.com,10.166.45.97,Edge Cloud,5.002504,54.57267000686056
10201,,0,43013,0,2015-08-13 23:46:03.788708,1,2015-08-13 23:46:03.788708,211,17.143.162.209,,10.161.237.136,Mobile Device,0.0,inf
31312,,285,43026,0,2015-08-13 23:46:04.779171,1,2015-08-13 23:46:04.781595,71,210.21.196.6,31-courier.push.apple.com,10.164.49.40,Edge Cloud,5.002424,71.16549896610123
13053,WeChat/6.1.4.16 CFNetwork/672.1.13 Darwin/14.0.0,21914,43013,3,2015-08-13 23:46:01.695399,1,2015-08-13 23:46:04.945019,2712,163.177.76.87,http://mmsns.qpic.cn/mmsns/bNqVZcia7iaByEollnC5GMtyibZ75RvKHNOaRYYhH1jqgRzyPsE2ib1u0HqQCm5qVVl2CpM4By5avsw/0?tp=webp&length=960&width=640,10.166.45.97,Edge Cloud,8.24962,2985.107192816154
13053,WeChat/6.1.4.16 CFNetwork/672.1.13 Darwin/14.0.0,493255,43013,3,2015-08-13 23:46:01.784992,1,2015-08-13 23:46:04.945120,12810,112.90.152.157,http://vweixinf.tc.qq.com/snsvideodownload?filekey=30270201010420301e020166040253480410be4501f3073585de5a83ede0727a7ddb0203073f680400&bizid=1023&hy=SH&fileparam=302f02010104283026020455c5724d020455ccbaa302024eea02031e8d7f02030f4240020462a98775020470f690750400,10.166.45.97,Edge Cloud,8.160128,62016.79679534439
31312,,0,43026,0,2015-08-13 23:46:05.403345,1,2015-08-13 23:46:05.403345,64,17.143.161.35,,10.164.49.40,Mobile Device,0.0,inf
13053,WeChat/6.1.4.16 CFNetwork/672.1.13 Darwin/14.0.0,2891,43013,2,2015-08-13 23:46:06.565062,1,2015-08-13 23:46:08.765237,767,163.177.76.87,http://mmsns.qpic.cn/mmsns/xPKCxELaaj7RZpCIuHIMmqhq2LbRqHkZ5l6xsKtmBAYDeyzJoQ9U5LWEoL3LV7lL3jVCL9Jadu8/150?tp=webp&length=960&width=640,10.166.45.97,Edge Cloud,7.200175,508.04320728315633
30573,,60,43046,0,2015-08-13 23:46:21.762355,1,2015-08-13 23:46:22.169270,112,202.91.239.161,,10.164.143.47,Mobile Device,0.0,inf
