Cell Identity(CI),User Agent,Downlink traffic,Location Area Code(LAC),Duration,Start Time,Radio Access Type(RAT),End Time,Uplink traffic,Destination IP,URL,Source IP,Offloading Decision,Latency,Throughput
30521,,0,43019,0,2015-08-02 22:27:26.212258,1,2015-08-02 22:27:26.212258,241,17.143.160.89,,172.29.2.227,Mobile Device,0.0,inf
30521,,570,43019,0,2015-08-02 22:27:26.212258,1,2015-08-02 22:27:59.368948,142,210.21.196.6,39-courier.push.apple.com,172.29.2.227,Edge Cloud,38.15669,18.659899482895398
11331,,535,43021,2,2015-08-02 22:27:26.230778,1,2015-08-02 22:27:28.245198,325,163.177.89.180,,172.21.151.137,Edge Cloud,7.014419999999999,122.60457742764193
46233,%E5%A4%A7%E4%BC%97%E7%82%B9%E8%AF%84/7.7.0.1 CFNetwork/711.4.6 Darwin/14.0.0,343211,43043,10,2015-08-02 22:27:22.084001,1,2015-08-02 22:27:30.820243,29260,112.91.135.97,http://i3.dpfile.com/pc/e3eafe9114dc8b9ee26f3b8d891ec9af(640x960)/thumb.jpg,172.28.159.226,Edge Cloud,13.736242,27115.931708250333
30521,,0,43019,2,2015-08-02 22:27:26.292085,1,2015-08-02 22:27:28.372360,192,17.110.228.35,,172.29.2.227,Mobile Device,2.0,96.0
29782,,465,3189,2,2015-08-02 22:27:24.186963,2,2015-08-02 22:27:26.411174,1017,163.177.67.188,http://eventlog.beacon.qq.com/analytics/upload?mType=beacon?rid=7ef0878c7358db06,172.28.77.139,Mobile Device,2.0,741.0
48691,,164,43011,2,2015-08-02 22:27:24.007969,1,2015-08-02 22:27:26.424351,572,221.130.179.36,,172.21.135.5,Mobile Device,2.0,368.0
10282,,0,43044,0,2015-08-02 22:27:26.787284,1,2015-08-02 22:27:26.787284,52,17.110.228.206,,172.26.196.68,Mobile Device,0.0,inf
29782,,779,3189,1,2015-08-02 22:27:24.947306,2,2015-08-02 22:27:26.865466,8874,163.177.67.188,http://eventlog.beacon.qq.com/analytics/upload?mType=beacon?rid=0b65c364b1e2e48c,172.28.77.139,Mobile Device,1.0,9653.0
46233,%E5%A4%A7%E4%BC%97%E7%82%B9%E8%AF%84/7.7.0.1 CFNetwork/711.4.6 Darwin/14.0.0,570,43043,2,2015-08-02 22:27:25.172065,1,2015-08-02 22:27:27.414189,4034,180.153.132.248,http://stat.api.dianping.com/utm.js?v=iphone,172.28.159.226,Mobile Device,2.0,2302.0
