Cell Identity(CI),User Agent,Downlink traffic,Location Area Code(LAC),Duration,Start Time,Radio Access Type(RAT),End Time,Uplink traffic,Destination IP,URL,Source IP,Offloading Decision,Latency,Throughput
25006,,0,42274,0,2015-08-10 22:39:48.375041,1,2015-08-10 22:39:48.375041,52,163.177.67.188,,10.165.136.91,Mobile Device,0.0,inf
21573,,220,42257,0,2015-08-10 22:39:48.457277,1,2015-08-10 22:39:49.418601,126,210.21.196.6,tb.himg.baidu.com,10.163.18.246,Edge Cloud,5.961324,58.04079764830765
9903,,132,42240,0,2015-08-10 22:39:48.483348,1,2015-08-10 22:39:48.484729,61,210.21.196.6,a.iosappmm.info,10.160.210.131,Edge Cloud,5.001381,38.589341623843495
11471,,9466,42257,0,2015-08-10 22:39:48.358463,1,2015-08-10 22:40:29.069480,9939,10.0.0.172,http://api2.sharesdk.cn:5566/conf3,10.151.20.162,Mobile Device,0.0,inf
11471,,52,42257,0,2015-08-10 22:39:48.508213,1,2015-08-10 22:39:48.737130,100,10.0.0.172,,10.151.20.162,Mobile Device,0.0,inf
21573,,1278,42257,1,2015-08-10 22:39:46.757197,1,2015-08-10 22:39:48.737522,2437,123.125.115.164,,10.163.18.246,Mobile Device,1.0,3715.0
16556,,4502,42262,13,2015-08-10 22:34:55.984022,1,2015-08-10 22:35:09.277990,5499,17.172.232.202,,10.163.102.51,Mobile Device,13.0,769.3076923076923
19544,,213,42262,0,2015-08-10 22:39:49.286704,1,2015-08-10 22:40:20.855777,123,210.21.196.6,mtalk.google.com,10.161.47.197,Edge Cloud,36.569073,9.18809180642889
25006,,0,42274,0,2015-08-10 22:39:49.347614,1,2015-08-10 22:39:49.347614,40,112.95.240.13,,10.165.136.91,Mobile Device,0.0,inf
5653,,22746,9473,14,2015-08-10 22:39:34.649437,2,2015-08-10 22:39:49.349255,1044,163.177.171.149,http://p3.v.iask.com/261/10/138609943_2.jpg,10.163.34.224,Edge Cloud,19.699818,1207.6253699399658
21573,,0,42257,0,2015-08-10 22:39:49.697277,1,2015-08-10 22:39:49.697277,283,163.177.153.75,,10.163.18.246,Mobile Device,0.0,inf
19544,,0,42262,10,2015-08-10 22:39:50.060434,1,2015-08-10 22:40:00.199225,180,74.125.68.188,,10.161.47.197,Mobile Device,10.0,18.0
21573,,168,42257,0,2015-08-10 22:39:49.637295,1,2015-08-10 22:39:50.237328,272,122.13.85.13,,10.163.18.246,Mobile Device,0.0,inf
34568,,0,42262,0,2015-08-10 22:40:00.790490,1,2015-08-10 22:40:00.790490,56,210.21.196.6,,10.161.47.80,Mobile Device,0.0,inf
46719,,52,20843,0,2015-08-10 22:39:51.624293,2,2015-08-10 22:39:51.655078,53,113.200.188.38,,10.160.11.149,Mobile Device,0.0,inf
6583,WeFire/2505 CFNetwork/711.1.16 Darwin/14.0.0,6674,42273,3,2015-08-10 22:39:48.471859,1,2015-08-10 22:39:51.651974,1078,112.90.83.48,http://wx.qlogo.cn/mmopen/Q3auHgzwzM5DpC6jcAbC2Zwbh9g9C6rU1rv1wJItg897K5CaU5HWFJRbhJ9gXllg1c2dk1gheWnnlgicblTSbxjvlPY9k6HvhhlVkXCfaZp4/96,10.165.45.64,Edge Cloud,8.180115,947.663938709908
6583,WeFire/2505 CFNetwork/711.1.16 Darwin/14.0.0,8896,42273,3,2015-08-10 22:39:48.441791,1,2015-08-10 22:39:51.662179,1804,112.90.149.87,http://files.wefire.qq.com/L1/wxios.json?curtime=635748431884850400,10.165.45.64,Edge Cloud,8.220388,1301.641722994097
46719,,132,20843,0,2015-08-10 22:39:51.682468,2,2015-08-10 22:39:52.304924,233,113.200.188.38,,10.160.11.149,Mobile Device,0.0,inf
21573,,19938,42257,1,2015-08-10 22:39:51.037293,1,2015-08-10 22:40:02.677837,5425,122.13.85.13,http://vs3.gzcu.u3.ucweb.com/?ucid=1501-5215750012-f0ea57aa,10.163.18.246,Edge Cloud,16.640544,1524.1689214006467
21573,,168,42257,0,2015-08-10 22:39:51.897331,1,2015-08-10 22:39:52.137424,272,122.13.85.13,,10.163.18.246,Mobile Device,0.0,inf
15035,%E6%89%8B%E6%9C%BA%E6%B7%98%E5%AE%9D/115185 CFNetwork/711.0.6 Darwin/14.0.0,466,42246,2,2015-08-10 22:39:49.892086,1,2015-08-10 22:39:52.192020,1792,140.205.160.4,http://apoll.m.taobao.com/status.taobao,10.161.148.83,Mobile Device,2.0,1129.0
15035,%E6%89%8B%E6%9C%BA%E6%B7%98%E5%AE%9D/115185 CFNetwork/711.0.6 Darwin/14.0.0,1292,42246,0,2015-08-10 22:39:51.922118,1,2015-08-10 22:39:52.425056,1243,140.205.160.63,http://140.205.160.63/amdc/mobileDispatch,10.161.148.83,Edge Cloud,5.502938,460.6630131031823
38212,,0,42240,0,2015-08-10 22:39:52.567773,1,2015-08-10 22:39:52.567773,158,17.110.229.31,,10.164.202.71,Mobile Device,0.0,inf
38422,,0,42266,0,2015-08-10 22:39:53.475381,1,2015-08-10 22:39:53.475381,174,17.143.164.88,,10.161.91.85,Mobile Device,0.0,inf
983,,1280,42266,68,2015-08-10 22:39:18.772749,1,2015-08-10 22:39:53.602195,1957,163.177.74.142,http://monitor.uu.qq.com/analytics/upload,10.165.254.73,Mobile Device,68.0,47.60294117647059
34441,,0,42580,0,2015-08-10 22:39:53.565930,1,2015-08-10 22:39:53.565930,40,140.207.123.162,,10.163.250.252,Mobile Device,0.0,inf
6583,WeFire/2505 CFNetwork/711.1.16 Darwin/14.0.0,924,42273,1,2015-08-10 22:39:51.932510,1,2015-08-10 22:39:53.902670,586,163.177.153.81,http://files.wefire.qq.com/L1/wxios.json?curtime=635748431920265930,10.165.45.64,Edge Cloud,6.97016,216.63778162911612
15035,%E6%89%8B%E6%9C%BA%E6%B7%98%E5%AE%9D/115185 CFNetwork/711.0.6 Darwin/14.0.0,816,42246,2,2015-08-10 22:39:51.902214,1,2015-08-10 22:39:54.232385,6090,140.205.160.94,http://adash.m.taobao.com/rest/sur?ak=21380790&av=5.3.1&c=201200%40taobao_iphone_5.3.1&v=3.0&s=a236fdc8295918760b374f622b6f13097e384d3c&d=VTuOsynNFQADAOD%2FUfLkHpKV&sv=4.3.6&p=m&t=1439218145&u=&is=1,10.161.148.83,Mobile Device,2.0,3453.0
21573,,168,42257,0,2015-08-10 22:39:54.237447,1,2015-08-10 22:39:54.677494,272,122.13.85.13,,10.163.18.246,Mobile Device,0.0,inf
25006,,230,42274,1,2015-08-10 22:39:54.738278,1,2015-08-10 22:39:56.199234,278,17.172.239.64,,10.165.136.91,Mobile Device,1.0,508.0
38212,,245,42240,0,2015-08-10 22:39:54.867811,1,2015-08-10 22:39:54.868945,81,210.21.196.6,4.courier-push-apple.com.akadns.net,10.164.202.71,Edge Cloud,5.001134,65.18521599301278
11471,,52,42257,0,2015-08-10 22:39:55.018764,1,2015-08-10 22:39:55.068299,100,10.0.0.172,,10.151.20.162,Mobile Device,0.0,inf
41031,,5480,42240,25,2015-08-10 22:39:30.373541,1,2015-08-10 22:39:55.378492,744,50.19.94.109,,10.165.78.13,Edge Cloud,30.004951,207.4324334007411
11471,Dalvik/1.6.0 (Linux; U; Android 4.2.2; H30-U10 Build/HuaweiH30-U10),3180,42257,15,2015-08-10 22:39:39.988129,1,2015-08-10 22:39:55.648694,508,10.0.0.172,http://wx.gtimg.com/hongbao/img/hongbao.png,10.151.20.162,Edge Cloud,20.660565,178.5043148626381
46719,,340,20843,4,2015-08-10 22:39:51.682495,2,2015-08-10 22:39:56.087627,1351,163.177.89.179,,10.160.11.149,Mobile Device,4.0,422.75
38212,,0,42240,21,2015-08-10 22:39:34.933069,1,2015-08-10 22:39:56.648819,684,17.110.229.202,,10.164.202.71,Mobile Device,21.0,32.57142857142857
15035,,164,42246,30,2015-08-10 22:39:26.188135,1,2015-08-10 22:39:56.687804,220,163.177.20.240,,10.161.148.83,Mobile Device,30.0,12.8
21573,,168,42257,0,2015-08-10 22:39:56.537418,1,2015-08-10 22:39:56.737604,272,122.13.85.13,,10.163.18.246,Mobile Device,0.0,inf
33723,,526,20856,604,2015-08-10 22:29:52.594100,2,2015-08-10 22:39:57.181506,791,58.251.139.221,,10.163.153.5,Mobile Device,604.0,2.1804635761589406
9622,,0,42243,0,2015-08-10 22:39:57.206230,1,2015-08-10 22:39:57.206230,52,17.172.232.101,,10.165.43.127,Mobile Device,0.0,inf
8081,,126,42270,1,2015-08-10 22:39:57.255138,1,2015-08-10 22:39:58.986150,210,17.143.163.82,,10.162.115.222,Mobile Device,1.0,336.0
11471,,52,42257,0,2015-08-10 22:39:57.328902,1,2015-08-10 22:39:57.378857,100,10.0.0.172,,10.151.20.162,Mobile Device,0.0,inf
38663,,11251,42263,51,2015-08-10 22:34:25.899965,1,2015-08-10 22:35:17.440591,7522,112.90.78.169,1147516293,10.165.10.153,Edge Cloud,56.540626,332.02674480470023
19544,,0,42262,9,2015-08-10 22:39:57.449803,1,2015-08-10 22:40:06.525112,180,216.58.221.132,,10.161.47.197,Mobile Device,9.0,20.0
6583,,0,42273,19,2015-08-10 22:39:57.862361,1,2015-08-10 22:40:17.302726,324,140.207.135.25,,10.165.45.64,Mobile Device,19.0,17.05263157894737
16213,,742,42580,0,2015-08-10 22:39:58.427699,1,2015-08-10 22:39:58.667518,1182,163.177.71.147,,10.163.161.74,Mobile Device,0.0,inf
11471,,52,42257,0,2015-08-10 22:39:59.598615,1,2015-08-10 22:39:59.648607,100,10.0.0.172,,10.151.20.162,Mobile Device,0.0,inf
34568,,781,42262,0,2015-08-10 22:39:59.982504,1,2015-08-10 22:40:11.012645,305,210.21.196.6,www.baidu.com,10.161.47.80,Edge Cloud,16.030141,67.74737664503388
701,,2300,9480,61,2015-08-10 22:34:18.759341,2,2015-08-10 22:35:20.019725,473,17.172.238.21,,10.160.159.50,Edge Cloud,66.260384,41.85004421344736
21573,,168,42257,0,2015-08-10 22:40:00.137877,1,2015-08-10 22:40:00.377694,272,122.13.85.13,,10.163.18.246,Mobile Device,0.0,inf
6583,WeFire/2505 CFNetwork/711.1.16 Darwin/14.0.0,79828,42273,8,2015-08-10 22:39:52.522115,1,2015-08-10 22:40:00.802724,12717,112.90.83.48,http://wx.qlogo.cn/mmopen/IKTjk9HxoaqD81LicibwQslz7w225ZicgSLuia7ia2UYImRTtI3yVicrbUz3XJhX0EBafIlZFCIyzwDMBJL2rMpO63rTCysiaAibRd0t/96,10.165.45.64,Edge Cloud,13.280609,6968.4304386944905
6583,WeFire/2505 CFNetwork/711.1.16 Darwin/14.0.0,123822,42273,12,2015-08-10 22:39:48.461910,1,2015-08-10 22:40:00.845782,17202,112.90.83.48,http://wx.qlogo.cn/mmopen/Q3auHgzwzM5DpC6jcAbC2Zwbh9g9C6rU1rv1wJItg897K5CaU5HWFJRbhJ9gXllg1c2dk1gheWnnlgicblTSbxjvlPY9k6HvhhlVkXCfaZp4/96,10.165.45.64,Edge Cloud,17.383872,8112.346892568008
6583,WeFire/2505 CFNetwork/711.1.16 Darwin/14.0.0,133987,42273,12,2015-08-10 22:39:48.391749,1,2015-08-10 22:40:00.847965,18314,112.90.83.48,http://wx.qlogo.cn/mmopen/Q3auHgzwzM5DpC6jcAbC2Zwbh9g9C6rU1rv1wJItg897K5CaU5HWFJRbhJ9gXllg1c2dk1gheWnnlgicblTSbxjvlPY9k6HvhhlVkXCfaZp4/96,10.165.45.64,Edge Cloud,17.456215999999998,8724.743094379677
6583,WeFire/2505 CFNetwork/711.1.16 Darwin/14.0.0,101564,42273,12,2015-08-10 22:39:48.461912,1,2015-08-10 22:40:00.848137,13535,112.90.83.48,http://wx.qlogo.cn/mmopen/Q3auHgzwzM5DpC6jcAbC2Zwbh9g9C6rU1rv1wJItg897K5CaU5HWFJRbhJ9gXllg1c2dk1gheWnnlgicblTSbxjvlPY9k6HvhhlVkXCfaZp4/96,10.165.45.64,Edge Cloud,17.386225,6620.125990547114
29823,,0,42253,0,2015-08-10 22:40:00.971849,1,2015-08-10 22:40:00.971849,40,58.251.148.138,,10.162.121.82,Mobile Device,0.0,inf
25006,,0,42274,0,2015-08-10 22:40:01.265829,1,2015-08-10 22:40:01.265829,52,107.22.242.123,,10.165.136.91,Mobile Device,0.0,inf
11471,MicroMessenger Client,8463,42257,0,2015-08-10 22:40:01.388538,1,2015-08-10 22:40:01.738769,1067,112.90.74.149,http://szshort.weixin.qq.com/cgi-bin/micromsg-bin/receiveemoji,10.151.20.162,Edge Cloud,5.350231,1781.2315019669245
34568,,0,42262,0,2015-08-10 22:40:11.771875,1,2015-08-10 22:40:11.771875,56,210.21.196.6,,10.161.47.80,Mobile Device,0.0,inf
38663,Dalvik/1.6.0 (Linux; U; Android 4.4.4; MI 3W MIUI/V6.6.3.0.KXDCNCF),2408,42263,55,2015-08-10 22:34:26.139745,1,2015-08-10 22:35:22.131227,1528,122.13.129.16,http://resolver.gslb.mi-idc.com/gslb/gslb/getbucket.asp?deviceType=0&list=file.market.xiaomi.com&ver=3.0,10.165.10.153,Edge Cloud,60.991482,64.53360159374387
10222,MicroMessenger Client,1443,42266,0,2015-08-10 22:40:02.049159,1,2015-08-10 22:40:02.443100,846,163.177.89.181,http://szextshort.weixin.qq.com/cgi-bin/micromsg-bin/mmsnssync,10.162.242.239,Edge Cloud,5.393941,424.3650421834425
9903,,80,42240,0,2015-08-10 22:40:02.629428,1,2015-08-10 22:40:02.928228,128,210.14.153.156,,10.160.210.131,Mobile Device,0.0,inf
41031,,0,42240,0,2015-08-10 22:40:02.969159,1,2015-08-10 22:40:02.969159,52,103.7.31.157,,10.165.78.13,Mobile Device,0.0,inf
21573,,168,42257,0,2015-08-10 22:40:02.697776,1,2015-08-10 22:40:03.057929,272,122.13.85.13,,10.163.18.246,Mobile Device,0.0,inf
25006,,0,42274,0,2015-08-10 22:40:03.142448,1,2015-08-10 22:40:03.142448,40,74.6.34.30,,10.165.136.91,Mobile Device,0.0,inf
2601,,0,42244,42,2015-08-10 22:39:20.502824,1,2015-08-10 22:40:03.261292,1296,17.143.160.228,,10.164.155.13,Mobile Device,42.0,30.857142857142858
10222,,184,42266,0,2015-08-10 22:40:03.839599,1,2015-08-10 22:40:03.843193,62,210.21.196.6,mqtt.m.youku.com,10.162.242.239,Edge Cloud,5.003594,49.16466044207424
5653,,6137,9473,32,2015-08-10 22:39:31.148796,2,2015-08-10 22:40:03.870970,6462,163.177.68.209,http://163.177.68.209/encrypt2?qbkey=332c1a6eefb50cbceb9e62bb82de3e7a,10.163.34.224,Mobile Device,32.0,393.71875
21573,,64,42257,36,2015-08-10 22:39:28.336685,1,2015-08-10 22:40:04.337886,376,112.90.1.49,,10.163.18.246,Mobile Device,36.0,12.222222222222221
21573,,64,42257,21,2015-08-10 22:39:43.476920,1,2015-08-10 22:40:05.177852,376,112.90.1.48,,10.163.18.246,Mobile Device,21.0,20.952380952380953
9622,,5402,42243,30,2015-08-10 22:39:34.754820,1,2015-08-10 22:40:05.517052,6181,17.172.238.21,,10.165.43.127,Mobile Device,30.0,386.1
9622,MicroMessenger Client,719,42243,4,2015-08-10 22:40:01.396465,1,2015-08-10 22:40:05.701002,1169,140.207.54.116,http://short.weixin.qq.com/cgi-bin/micromsg-bin/statusnotify,10.165.43.127,Mobile Device,4.0,472.0
9622,MicroMessenger Client,423,42243,0,2015-08-10 22:40:05.347186,1,2015-08-10 22:40:05.822538,709,140.207.54.116,http://short.weixin.qq.com/cgi-bin/micromsg-bin/statusnotify,10.165.43.127,Mobile Device,0.0,inf
38422,,252,42266,9,2015-08-10 22:40:06.095553,1,2015-08-10 22:40:16.047771,278,17.172.232.125,,10.161.91.85,Mobile Device,9.0,58.888888888888886
