Cell Identity(CI),User Agent,Downlink traffic,Location Area Code(LAC),Duration,Start Time,Radio Access Type(RAT),End Time,Uplink traffic,Destination IP,URL,Source IP,Offloading Decision,Latency,Throughput
32031,,112,42271,1,2015-08-07 00:17:02.313534,1,2015-08-07 00:17:03.979911,112,123.125.80.150,,172.27.186.84,Mobile Device,1.0,224.0
52441,,5827,42258,0,2015-08-07 00:17:02.398371,1,2015-08-07 00:18:35.015334,2993,210.21.196.6,push.myzaker.com,172.25.193.194,Edge Cloud,97.616963,90.35314897063536
52441,,0,42258,15,2015-08-07 00:17:02.488458,1,2015-08-07 00:17:17.498890,300,216.58.221.132,,172.25.193.194,Mobile Device,15.0,20.0
10740,Weibo/4534 CFNetwork/711.1.16 Darwin/14.0.0,235794,42258,42,2015-08-07 00:16:57.822324,1,2015-08-07 00:18:21.103678,21282,112.90.246.87,http://ww2.sinaimg.cn/wap720/67bf3711jw1eus60bolqpj20c8097gm3.jpg,172.29.73.110,Edge Cloud,88.281354,2912.007896933706
9342,,182,20854,0,2015-08-07 00:17:02.610973,2,2015-08-07 00:17:02.613811,63,210.21.196.6,monitor.uu.qq.com,172.27.254.162,Edge Cloud,5.002838,48.97220337736301
50582,,10073,20861,138,2015-08-07 00:17:02.721062,2,2015-08-07 00:18:42.527277,3626,210.21.196.6,p.store.qq.com,172.30.131.11,Edge Cloud,104.806215,130.7078974276478
50582,,208,20861,7,2015-08-07 00:17:02.721286,2,2015-08-07 00:17:10.269085,60,163.177.76.80,,172.30.131.11,Edge Cloud,12.547799000000001,21.35832746444217
32181,AppleCoreMedia/1.0.0.9B206 (iPhone; U; CPU OS 5_1_1 like Mac OS X; zh_cn),12416173,42579,42,2015-08-07 00:16:58.932767,1,2015-08-07 00:18:43.798231,229846,58.254.132.66,http://58.254.132.66/dd.yinyuetai.com/uploads/videos/common/BE5B013DC42609F2CD3639F74137D720.mp4?sc=e397804ffd83eb4e&br=577&rd=iOS&uniqueId=0a2a39e3838f66ea3638b9743a803211,172.29.97.96,Edge Cloud,109.865464,115104.5882808086
9342,,0,20854,3,2015-08-07 00:17:03.090938,2,2015-08-07 00:17:06.671756,120,140.207.135.110,,172.27.254.162,Mobile Device,3.0,40.0
50582,,156,20861,4,2015-08-07 00:17:03.460624,2,2015-08-07 00:17:07.861899,120,163.177.71.147,,172.30.131.11,Edge Cloud,9.401275,29.357720096476275
50582,,312,20861,8,2015-08-07 00:17:03.620907,2,2015-08-07 00:17:12.503387,180,163.177.76.82,,172.30.131.11,Edge Cloud,13.88248,35.44035359676369
10740,Weibo/4534 CFNetwork/711.1.16 Darwin/14.0.0,215130,42258,33,2015-08-07 00:17:02.072242,1,2015-08-07 00:18:21.123460,21394,112.90.246.87,http://ww4.sinaimg.cn/wap720/67bf3711jw1eus60cvbyxj20c8097gm3.jpg,172.29.73.110,Edge Cloud,84.051218,2814.0460736690334
13842,Agoo-sdk-2.0,512,42258,305,2015-08-07 00:07:17.989248,1,2015-08-07 00:12:23.924270,657,140.205.203.93,http://140.205.203.93:8016/m/21711551/173/AoQ34z6Xr2WHRbid7ZmoEUxpbOl-Y5cyRR5_p8V6qonU?c=MHw4fDh8EjYS77%2B9AAB8MHwxfDA0ODk1NDI4MjN8MDQ4OTUwNjM2NXwxfDE%3D&s=MDQ4OTU0MjgyM1lxRWF3cW1tMXZCaFQ0aHNsd3B1SHJ4SlVUQT0=,10.90.85.69,Mobile Device,305.0,3.8327868852459015
50582,,0,20861,7,2015-08-07 00:16:56.679629,2,2015-08-07 00:17:03.960783,120,112.64.237.181,,172.30.131.11,Mobile Device,7.0,17.142857142857142
50582,,0,20861,9,2015-08-07 00:17:14.402169,2,2015-08-07 00:17:24.201957,2136,221.5.88.88,,172.30.131.11,Mobile Device,9.0,237.33333333333334
16406,,701,42257,0,2015-08-07 00:17:05.026663,1,2015-08-07 00:17:36.192490,317,210.21.196.6,semp42.vipvip66.com,172.31.79.113,Edge Cloud,36.165827,28.148118941120853
3432,MQQBrowser,764,42580,2,2015-08-07 00:17:02.110248,1,2015-08-07 00:17:05.070337,8920,220.249.243.119,http://wup.imtt.qq.com:8080/,172.30.203.41,Mobile Device,2.0,4842.0
44787,Dalvik/1.6.0 (Linux; U; Android 4.2.2; HUAWEI Y518-T00 Build/HUAWEIY518-T00),902,9483,3,2015-08-07 00:17:01.626777,2,2015-08-07 00:17:05.208422,1848,122.114.61.254,http://bravekylin.com:8088/kylin/revenuemain,172.21.89.140,Mobile Device,3.0,916.6666666666666
3432,,246,42580,0,2015-08-07 00:17:05.590234,1,2015-08-07 00:17:05.752890,134,210.21.196.6,sapi.map.baidu.com,172.30.203.41,Edge Cloud,5.162656,73.60552397835532
35613,,252,42579,1,2015-08-07 00:17:06.353939,1,2015-08-07 00:17:08.163613,252,112.90.74.148,,172.27.145.215,Mobile Device,1.0,504.0
50582,,0,20861,12,2015-08-07 00:16:54.320816,2,2015-08-07 00:17:06.841340,240,163.177.76.80,,172.30.131.11,Mobile Device,12.0,20.0
3432,,5596,42580,1,2015-08-07 00:17:05.690327,1,2015-08-07 00:17:06.970541,1759,111.206.37.37,,172.30.203.41,Edge Cloud,6.280214,1171.138435728464
44787,Dalvik/1.6.0 (Linux; U; Android 4.2.2; HUAWEI Y518-T00 Build/HUAWEIY518-T00),625,9483,2,2015-08-07 00:17:05.147140,2,2015-08-07 00:17:07.248730,1125,122.114.61.254,http://bravekylin.com:8088/kylin/mainlogic,172.21.89.140,Mobile Device,2.0,875.0
9342,,0,20854,13,2015-08-07 00:17:07.411101,2,2015-08-07 00:17:21.212499,160,163.177.74.142,,172.27.254.162,Mobile Device,13.0,12.307692307692308
10740,,79,42258,0,2015-08-07 00:17:07.732449,1,2015-08-07 00:17:07.832428,131,61.135.153.46,,172.29.73.110,Mobile Device,0.0,inf
16406,UCWEB/10.4.5.568 CFNetwork/711.3.18 Darwin/14.0.0,6104038,42257,115,2015-08-07 00:17:05.545701,1,2015-08-07 00:18:33.109354,167726,45.34.0.91,http://semp42.vipvip66.com:8888/(1pondo)(012215_014)%E7%A9%BA%E5%A4%A9%E4%BD%BF183%E7%AC%AC1%E9%83%A8%E4%BB%BD%EF%BD%9E%E8%A5%BF%E5%B7%9D%E3%82%8A%E3%81%8A%E3%82%93.mp4,172.31.79.113,Edge Cloud,92.563653,67756.2282465235
9342,,0,20854,13,2015-08-07 00:17:08.051152,2,2015-08-07 00:17:21.672114,160,163.177.67.188,,172.27.254.162,Mobile Device,13.0,12.307692307692308
9342,,0,20854,0,2015-08-07 00:17:08.090668,2,2015-08-07 00:17:08.090668,40,140.207.69.43,,172.27.254.162,Mobile Device,0.0,inf
33821,,0,42256,0,2015-08-07 00:17:08.173733,1,2015-08-07 00:17:08.173733,60,74.125.204.138,,172.21.228.117,Mobile Device,0.0,inf
9342,,470,20854,0,2015-08-07 00:17:08.171381,2,2015-08-07 00:17:08.891081,858,140.207.135.110,http://aqq.qjnn.qq.com:12004/x/3/role/syncrole,172.27.254.162,Mobile Device,0.0,inf
9342,,0,20854,13,2015-08-07 00:17:08.891089,2,2015-08-07 00:17:22.752501,160,140.207.135.110,,172.27.254.162,Mobile Device,13.0,12.307692307692308
50582,,0,20861,12,2015-08-07 00:16:56.480614,2,2015-08-07 00:17:08.901603,240,140.207.234.15,,172.30.131.11,Mobile Device,12.0,20.0
16406,UCWEB/10.4.5.568 CFNetwork/711.3.18 Darwin/14.0.0,4564,42257,1,2015-08-07 00:17:07.546358,1,2015-08-07 00:17:09.286378,1201,163.177.128.231,http://client.tv.uc.cn/ios/get_episodes,172.31.79.113,Edge Cloud,6.7400199999999995,855.3387081937443
15933,,680,42294,5,2015-08-07 00:17:09.872193,1,2015-08-07 00:17:15.518032,1586,17.110.226.18,,172.31.42.141,Mobile Device,5.0,453.2
5271,,0,42241,0,2015-08-07 00:17:10.366026,1,2015-08-07 00:17:10.366026,60,115.239.210.246,,172.26.107.101,Mobile Device,0.0,inf
50582,,0,20861,7,2015-08-07 00:17:20.481815,2,2015-08-07 00:17:27.601556,1610,210.21.196.6,,172.30.131.11,Mobile Device,7.0,230.0
