Cell Identity(CI),User Agent,Downlink traffic,Location Area Code(LAC),Duration,Start Time,Radio Access Type(RAT),End Time,Uplink traffic,Destination IP,URL,Source IP,Offloading Decision,Latency,Throughput
44811,,0,20832,0,2015-08-05 23:31:56.782234,2,2015-08-05 23:31:56.782234,40,10.0.0.172,,10.90.3.22,Mobile Device,0.0,inf
15543,qqlive4iphone,659,42255,1,2015-08-05 23:31:55.552211,1,2015-08-05 23:31:56.853100,1492,163.177.56.23,http://bar.qq.com/client/loginCall/login?pubfrom=%26wx_openid%3DoQFqrjnE0W1axJtKiEvSbmJ38LXQ%26idfa%3DC5AC2BE7-525C-48E0-B9A5-D843739EE7A3%26mlogin_type%3Dwx%26call_type%3Dself%26devid%3DA5E55F2D-FD81-44F5-8826-AEC8E1C1FED5%26isjailbreak%3D0%26appid%3Dwxca942bbff22e0e51%26guid%3Def1f3bec5da11033bbcf80fb0722850a%26pt%3D7%26app_ver%3D3.9.5.8716%26dev_model%3DiPhone%204S%26qq%3D736133533%26vuserid%3D59439958,172.29.146.12,Mobile Device,1.0,2151.0
31438,Dalvik/1.6.0 (Linux; U; Android 4.3; SM-G3502C Build/JLS36C),1023032,42267,2,2015-08-05 23:31:55.135888,1,2015-08-05 23:31:57.261963,15367,122.13.86.88,http://ra05.sycdn.kuwo.cn/57f151e2a94e788a4a816e3c6e633aa8/55c22c6d/resource/a1/83/52/3065755171.aac?src=kwplayer_ar,172.30.4.223,Edge Cloud,7.126075,145718.22496956598
38394,,919,9481,0,2015-08-05 23:31:57.461730,2,2015-08-05 23:32:42.866130,510,221.5.88.88,clientspdy.detail.tmall.com,172.25.22.173,Edge Cloud,50.4044,28.350699542103467
18423,,0,42277,0,2015-08-05 23:31:57.887538,1,2015-08-05 23:31:57.887538,40,61.135.185.33,,172.28.222.162,Mobile Device,0.0,inf
3092,,78,42264,0,2015-08-05 23:31:57.926087,1,2015-08-05 23:31:57.929025,62,210.21.196.6,api2.sharesdk.cn,172.27.27.175,Edge Cloud,5.002938,27.983556861987893
3092,,388,42264,1899,2015-08-05 22:55:38.619059,1,2015-08-05 23:27:18.487464,480,163.177.89.180,,172.28.252.191,Mobile Device,1899.0,0.4570826750921538
481,,1476,42257,7,2015-08-05 23:31:58.553435,1,2015-08-05 23:32:05.918113,884,163.177.71.147,,172.31.72.115,Edge Cloud,12.364678,190.86627245772192
31438,Dalvik/1.6.0 (Linux; U; Android 4.3; SM-G3502C Build/JLS36C),601,42267,0,2015-08-05 23:31:58.375591,1,2015-08-05 23:31:58.706090,659,60.29.228.28,http://mobi.kuwo.cn/mobi.s?f=kuwo&q=VH0YmBjTIqPwMHV0is26L8xEL7Yt36WqHbUI3IEkHufDgtSE0LwjfTYxGMWIijJdxQskru/aVoIUso/mnMHPsU0utlE6RQAvxnppK/18gEWytU1jtRYb5hOs8l3FpNHd18NsawlyRyRtNBB3YsCCYB45hWBzRQTvABaiywK+CbBpHofqZYpVlO9cQeobX6G75kE/cKyuBXHRy+nsIF8+TdciNrMOkp+TLH+SskLp9IpoYk6p0UW/LQfW49iTd/SM,172.30.4.223,Mobile Device,0.0,inf
46308,,0,42579,0,2015-08-05 23:32:08.800836,1,2015-08-05 23:32:08.850755,504,210.21.196.6,,172.26.238.173,Mobile Device,0.0,inf
15543,,228,42255,0,2015-08-05 23:31:58.655789,1,2015-08-05 23:31:58.925795,1285,112.90.78.181,,172.29.146.12,Mobile Device,0.0,inf
47398,,144,20840,1,2015-08-05 23:31:57.910893,2,2015-08-05 23:31:59.229667,116,42.62.48.186,,172.25.75.135,Edge Cloud,6.3187739999999994,41.14722254665225
3092,,943,42264,0,2015-08-05 23:31:59.453169,1,2015-08-05 23:31:59.571042,369,163.177.89.180,,172.27.27.175,Edge Cloud,5.117873,256.3564980998942
3092,,569,42264,1,2015-08-05 23:31:58.175949,1,2015-08-05 23:31:59.560874,553,122.13.218.61,http://api2.sharesdk.cn:80/conf4,172.27.27.175,Edge Cloud,6.384925,175.72641808635183
25552,,778,42580,0,2015-08-05 23:31:59.435705,1,2015-08-05 23:31:59.685844,1060,163.177.67.190,http://monitor.uu.qq.com/analytics/upload,172.26.178.77,Mobile Device,0.0,inf
3092,MicroMessenger Client,1443,42264,0,2015-08-05 23:31:59.901333,1,2015-08-05 23:32:00.083054,846,163.177.89.181,http://szextshort.weixin.qq.com/cgi-bin/micromsg-bin/mmsnssync,172.27.27.175,Edge Cloud,5.181721,441.74512676386865
38394,,3076,9481,16,2015-08-05 23:31:44.702420,2,2015-08-05 23:32:00.721915,4068,221.5.107.99,,172.25.22.173,Mobile Device,16.0,446.5
38394,adclient null,8472,9481,1,2015-08-05 23:31:59.101737,2,2015-08-05 23:32:00.721800,2053,140.205.140.1,http://ya.tmall.com/api/rest.do,172.25.22.173,Edge Cloud,6.620063,1589.8640239526421
26732,Taobao4iPhone/5.1.0 CFNetwork/672.1.15 Darwin/14.0.0,520,42576,2,2015-08-05 23:31:58.716937,1,2015-08-05 23:32:00.996976,3599,140.205.160.94,http://adash.m.taobao.com/rest/sur?ak=21380790&av=5.1.0&c=201200%40taobao_iphone_5.1.0&v=2.0&s=7e6841c9df24f2db4f139c530d531b84&d=UxyMh31LUasDALbvXy3E8wgc&sv=1.0.0&p=5.1.0&t=1438788719&u=,172.29.197.23,Mobile Device,2.0,2059.5
481,,1808,42257,0,2015-08-05 23:32:01.198117,1,2015-08-05 23:32:01.258215,1672,112.90.83.104,,172.31.72.115,Edge Cloud,5.060098,687.7337158292191
31438,,1952,42267,20,2015-08-05 23:31:51.005705,1,2015-08-05 23:33:02.227869,2752,115.231.102.236,http://ws2.cootekservice.com:80/yellowpage/info,172.30.4.223,Mobile Device,20.0,235.2
18423,MobileMap,398,42277,0,2015-08-05 23:32:01.408531,1,2015-08-05 23:32:01.678688,761,112.80.248.47,http://client.map.baidu.com/?qt=rg&mmproxyver=1&url=http%3A%2F%2Fpush.lbc.baidu.com%2Fsendmsg%2Fapi%2Fcheck%3Fqt%3Ddiscount%26loc%3D%2812610306%2C2642779%29%26mb%3DSM-N9002%26os%3DAndroid19%26sv%3D6.2.4%26net%3D9%26resid%3D01%26cuid%3D8FD1E0E9B5F4D681D2071EECFCC1965D%257C024852750555753%26channel%3D1009864a%26screen%3D%25281080%252C1920%2529%26dpi%3D%2528480%252C480%2529%26ver%3D1%26ctm%3D1438788730.921000&rc=0,172.28.222.162,Mobile Device,0.0,inf
15731,,0,42579,242,2015-08-05 23:32:02.048782,1,2015-08-05 23:33:27.127317,3356,210.21.196.6,strategy.beacon.qq.com,172.28.167.209,Mobile Device,242.0,13.867768595041323
